Metric,BC Model Result
Average Cumulative Reward,-9.69
Standard Deviation,8.84
Average Action Latency (ms),24.94
NOOP (%),19.82
FIRE (%),8.41
UP (%),9.26
DOWN (%),30.94
RIGHTFIRE (%),7.95
LEFTFIRE (%),23.59
