episode_id,episode_length,episode_return,positive_rewards,negative_rewards,total_reward_magnitude,action_agreement_rate,repeated_frames,unique_actions,most_common_action
84,2667,-2.0,19,21,40.0,0.9201349831271091,651,6,0
85,2670,7.0,21,14,35.0,0.9314606741573034,645,6,0
86,2536,7.0,21,14,35.0,0.9207413249211357,648,6,0
87,2418,-3.0,18,21,39.0,0.9110835401157982,609,6,0
88,2850,4.0,21,17,38.0,0.9140350877192982,733,6,0
89,2836,3.0,21,18,39.0,0.9188998589562765,708,6,0
90,2701,3.0,21,18,39.0,0.9207700851536468,673,6,0
91,2273,7.0,21,14,35.0,0.912010558732952,586,6,0
92,2682,3.0,21,18,39.0,0.9161073825503355,670,6,0
93,2483,-2.0,19,21,40.0,0.9275070479258961,595,6,0
94,2110,9.0,21,12,33.0,0.9227488151658768,532,6,0
95,2367,10.0,21,11,32.0,0.9286016054076891,591,6,0
96,2082,13.0,21,8,29.0,0.9217098943323727,501,6,0
97,2527,-1.0,20,21,41.0,0.9192718638702018,648,6,0
98,2969,3.0,21,18,39.0,0.9157965644998316,717,6,0
99,2719,-1.0,20,21,41.0,0.914306730415594,694,6,0
100,2840,-1.0,20,21,41.0,0.9109154929577464,751,6,0
101,1815,18.0,21,3,24.0,0.931129476584022,435,6,0
102,2490,-2.0,19,21,40.0,0.9140562248995984,653,6,0
103,2353,-2.0,19,21,40.0,0.9341266468338292,555,6,0
104,2255,8.0,21,13,34.0,0.9157427937915743,541,6,0
105,2469,6.0,21,15,36.0,0.9214256784123127,596,6,0
106,2647,7.0,21,14,35.0,0.9225538345296562,663,6,0
107,2134,-8.0,13,21,34.0,0.915182755388941,523,6,0
108,1977,13.0,21,8,29.0,0.9372787051087507,458,6,0
109,2655,4.0,21,17,38.0,0.9129943502824859,664,6,0
110,2902,4.0,21,17,38.0,0.9255685733976567,746,6,0
111,1983,14.0,21,7,28.0,0.9304084720121029,482,6,0
112,2535,4.0,21,17,38.0,0.9258382642998028,599,6,0
113,2247,8.0,21,13,34.0,0.931909212283044,561,6,0
114,2436,10.0,21,11,32.0,0.9220032840722496,610,6,0
115,2088,14.0,21,7,28.0,0.9200191570881227,533,6,0
116,2517,6.0,21,15,36.0,0.9185538339292809,645,6,0
117,2660,3.0,21,18,39.0,0.9203007518796993,635,6,0
118,1745,-10.0,11,21,32.0,0.9203438395415473,421,6,0
119,2553,-1.0,20,21,41.0,0.9122600861731297,662,6,0
120,2087,-9.0,12,21,33.0,0.9166267369429804,549,6,0
121,2986,-1.0,20,21,41.0,0.9253181513730744,715,6,0
122,2370,-5.0,16,21,37.0,0.9046413502109705,625,6,0
123,2315,6.0,21,15,36.0,0.9274298056155508,588,6,0
124,2560,-2.0,19,21,40.0,0.915234375,674,6,0
125,2355,9.0,21,12,33.0,0.9171974522292994,587,6,0
126,2655,4.0,21,17,38.0,0.9137476459510357,670,6,0
127,2634,5.0,21,16,37.0,0.9168564920273349,684,6,0
128,2624,-1.0,20,21,41.0,0.921875,674,6,0
129,2294,8.0,21,13,34.0,0.9254577157802965,552,6,0
130,2586,6.0,21,15,36.0,0.9187935034802784,672,6,0
131,2309,8.0,21,13,34.0,0.913382416630576,591,6,0
132,2295,6.0,21,15,36.0,0.9263616557734204,557,6,0
133,2741,5.0,21,16,37.0,0.9273987595767967,684,6,0
134,2018,15.0,21,6,27.0,0.9172447968285431,500,6,0
135,2390,11.0,21,10,31.0,0.9326359832635983,572,6,0
136,2295,11.0,21,10,31.0,0.9185185185185185,583,6,0
137,2532,6.0,21,15,36.0,0.9182464454976303,636,6,0
138,2108,11.0,21,10,31.0,0.9255218216318786,544,6,0
139,2518,-2.0,19,21,40.0,0.9249404289118348,595,6,0
